plan_id,class_id,course_ware_id,package_id,page_id,order_id,interaction_id,stu_id,test_id,is_playback,is_force,submit_time,ability,subability,typea,typeb,difficulty_level,total_correct,total_incorrect,correct_click,incorrect_click,score,dt
812054,1255149,117486,5435629,6191915,0,2698861235180513292,18903289,1,0,0,2021-02-03 19:31:54.0,注意力,注意广度训练,500,503,2,14,0,14,0,110,2021-02-19
812006,1255013,115153,5209548,5955145,0,462061096289940304,23421143,1,0,0,2021-01-18 17:42:17.0,视动能力,手眼配合训练,400,402,1,3,0,,,100,2021-02-19
812065,1689575,110783,4861777,5578856,0,2131160794431611224,16929720,1,0,0,2020-12-14 19:14:02.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-02-19
811994,1254888,122174,5844198,6626842,0,465261563568098720,7756456,1,0,0,2021-03-13 19:42:20.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-17
878665,1765695,120372,5560308,6324363,0,2123061442743318670,62454992,1,0,0,2021-02-27 20:04:49.0,视动能力,空间位置判断训练,400,403,2,3,0,,,100,2021-03-03
878662,1699974,117944,5402627,6157558,0,3012161200811712558,60774526,1,0,0,2021-01-30 20:02:49.0,视动能力,空间位置判断训练,400,403,2,3,0,,,100,2021-02-19
816075,1103024,110771,4867618,5585182,0,3215260828991698702,57899345,1,1,0,2021-01-18 21:23:09.0,视动能力,空间位置判断训练,400,403,1,3,0,,,100,2021-02-19
811978,1254898,110771,4867624,5585188,0,3215260837754614224,57425341,1,0,1,2020-12-19 19:34:57.0,注意力,注意广度训练,500,503,1,14,3,14,1,90.19999999999999,2021-02-19
816127,1255488,131222,5347220,6098553,0,3215361174682994998,56885190,1,0,0,2021-01-27 19:28:12.0,视觉能力,视觉辨识训练,400,401,1,2,1,,,67,2021-02-19
812239,1255280,146775,6055680,6856051,0,1003261640967654554,21898647,1,0,0,2021-03-22 18:41:52.0,视动能力,手眼配合训练,400,402,1,7,0,,,100,2021-03-24
811997,1254992,124113,6049030,6849218,0,2042261658471634712,58937725,1,0,0,2021-03-24 19:20:15.0,语素意识,动词词语结构与词汇积累训练,300,301,1,3,0,,,100,2021-03-24
812271,1846029,130233,5306049,6054743,0,2316361131399793128,59234580,1,0,0,2021-01-22 19:13:56.0,视动能力,手眼配合训练,400,402,1,5,0,,,100,2021-02-19
812076,1255212,117486,5435628,6191914,0,441861217831151920,57384419,1,0,0,2021-02-01 19:19:08.0,视动能力,手眼配合训练,400,402,1,6,0,,,100,2021-02-19
878738,2203445,146775,6055678,6856049,0,595561649940537746,64072980,1,0,0,2021-03-23 19:38:04.0,注意力,注意定向训练,500,502,1,8,0,,,100.00,2021-03-24
910240,2075951,120372,5560308,6324363,0,2026361442555802218,62128510,1,0,0,2021-02-27 19:33:40.0,视动能力,空间位置判断训练,400,403,2,2,1,,,67,2021-03-03
812208,1867700,117674,5430761,6186876,0,1963161226542750510,63436960,1,0,0,2021-02-02 19:32:35.0,语音意识,声调辨识训练,100,101,1,3,0,,,100,2021-02-19
961917,1784830,110965,4880667,5599739,0,961917000106001668,63482666,1,1,0,2021-02-08 19:32:55.0,字形规则意识,目标部件搜索训练,200,201,1,2,2,,,50,2021-02-19
812078,1760651,120372,5522349,6284137,0,2454261425305634672,60383793,1,0,0,2021-02-25 19:39:43.0,字形规则意识,部件位置判断训练,200,204,1,5,0,9,0,100,2021-03-03
816085,2279727,117486,5435629,6191915,0,3012161226547183372,63813975,1,1,0,2021-02-05 18:39:41.0,注意力,注意广度训练,500,503,2,14,1,14,1,101.6,2021-02-19
876564,1257778,116439,4914852,5638163,0,3215460863527769576,49833347,1,0,0,2020-12-22 19:08:47.0,视动能力,手眼配合训练,400,402,2,4,0,,,100,2021-02-19
812276,1255389,119237,5616409,6383612,0,674861433870633210,57088926,1,0,0,2021-02-26 19:26:31.0,视觉能力,视觉辨识训练,400,401,1,5,0,,,100,2021-03-03
878656,1650296,122986,5066390,5803911,0,3215461019397758034,17161735,1,0,0,2021-01-09 20:07:57.0,注意力,注意广度训练,500,503,2,14,1,14,1,101.6,2021-02-19
812053,1255096,117944,5402627,6157558,0,2129561200628097824,1853779,1,0,0,2021-01-30 19:32:09.0,视动能力,空间位置判断训练,400,403,2,3,0,,,100,2021-02-19
812048,1255173,111834,5138950,5880390,0,1093861053667921184,49825267,1,0,0,2021-01-13 19:18:39.0,视动能力,手眼配合训练,400,402,3,9,0,,,100,2021-02-19
811984,1254892,115153,5192630,5937157,0,1120661114278054328,56229901,1,0,0,2021-01-20 19:41:30.0,语音意识,声调辨识训练,100,101,1,3,0,,,100,2021-02-19
812081,1689380,124159,5798058,6576651,0,947861520284804090,59681886,1,0,1,2021-03-08 19:29:05.0,视动能力,空间位置判断训练,400,403,1,0,0,,,0,2021-03-10
816094,1864217,124113,6049030,6849218,0,2510861649829569450,44187933,1,0,0,2021-03-23 19:19:59.0,语素意识,动词词语结构与词汇积累训练,300,301,1,3,0,,,100,2021-03-24
816091,2086642,122174,5843229,6625867,0,234161554847001022,51382970,1,0,0,2021-03-12 19:29:49.0,注意力,注意抑制训练,500,504,1,13,2,13,2,91.5,2021-03-17
910245,2671508,125196,5907626,6695912,0,234361597964080330,43954043,1,0,0,2021-03-17 19:15:30.0,注意力,注意广度训练,500,503,3,11,2,11,2,91.8,2021-03-17
